"Number.Items","Number.Students.Original","Number.Run","Alpha","Model.RMSEA","Model.SRMSR","Model.TLI","Model.CFI","RMSE.Item.Discrimination","RMSE.Item.Difficulty","RMSE.Theta","RMSE.EstExpSc.SimSumSc","RMSE.EstExpSc.WSc","RMSE.WSc.SimSumSc","RMSE.TrExpSc.SimSumSc","RMSE.TrExpSc.WSc","RMSE.TrExpSc.EstExpSc","R2.EstTh.SimSumSc","R2.EstTh.WSc","R2.EstExpSc.SimSumSc","R2.EstExpSc.WSc","R2.TrTh.SimSumSc","R2.TrTh.WSc","R2.TrExpSc.SimSumSc","R2.TrExpSc.WSc","CORR.2PLDiff.2PLDisc","CORR.EstTh.SimSumSc","CORR.EstTh.WSc","CORR.EstTh.EstExpSc","CORR.SimSumSc.WSc","CORR.SimSumSc.EstExpSc","CORR.WScvEstExpSc","CORR.TrTh.TrExpSc","CORR.TrTh.EstTh","CORR.TrTh.SimSumSc","CORR.TrTh.WSc","CORR.TrTh.EstExpSc","CORR.TrExpSc.EstTh","CORR.TrExpSc.SimSumSc","CORR.TrExpSc.WSc","CORR.TrExpSc.EstExpSc"
10,5000,18,0.818254763773334,0,0.00569868745618998,1.00091477418925,1,0.0037036647183406,0.00203590367066368,0.414806660252169,0.40531113657581,0.529116916970394,0.386737930880003,1.04864781530307,1.12325483533121,0.940643498454643,0.987360031813922,0.987682216777748,0.987604955060294,0.999939249996091,0.818260702652969,0.818593748150398,0.842358287433779,0.852660861781746,-0.150924658219303,0.993659917584443,0.993822024699467,0.993861062559715,0.993831488790816,0.993783152936441,0.999969624536711,0.985406218838484,0.910524881664342,0.904577637714403,0.90476170793773,0.904787108172151,0.918351403575281,0.91780078853408,0.923396373060749,0.923381460142359
10,5000,19,0.744798613976144,0.00692817865522655,0.00920814448763524,0.999114015799816,0.999310901177634,0.0033405296901783,0.00180196180739768,0.479370840827871,0.507020670547869,0.620941422813838,0.358912479578303,1.03429819755014,1.09391932748137,0.874689019566401,0.976967228851313,0.992582852109036,0.982370743630844,0.997089047674889,0.754938755415902,0.769621085726063,0.771304173008443,0.786215242792939,0.0326958271377413,0.988416525990593,0.996284523672347,0.992634160316446,0.990269477719931,0.991146176722104,0.998543463087556,0.987245820912258,0.880175953195772,0.868872116836478,0.877280505725542,0.874636905715174,0.880887903448938,0.878239245882603,0.886687793303223,0.888082159009799
10,5000,20,0.818978207919928,0.00790000651628431,0.0100648265048899,0.999391006179459,0.999526338139579,0.00367059343230717,0.00136456676894667,0.417973190491119,0.451261124502113,0.598217739377583,0.494648147782959,1.04924373712761,1.15485118751067,0.92696170399649,0.981808612115904,0.980142351934145,0.980736762492048,0.999784285002563,0.809092037874128,0.8089837584419,0.846736936469863,0.861823140704783,-0.0191600838084577,0.990862559649876,0.990021389634661,0.988438746943486,0.991090105235123,0.990321545000435,0.999892136684034,0.978600677988079,0.907330074355172,0.89949543516025,0.899435244162636,0.897984083375007,0.91903396529923,0.920183099426338,0.928344300733722,0.928190420324957
10,5000,21,0.816986806154446,0.00619232260902647,0.0086182475100606,0.9996225687453,0.999706442357455,0.00403843008423275,0.0026941012075076,0.413184433667892,0.447586055778343,0.600681839958599,0.497010694456832,1.04463145886738,1.15752688935143,0.927749820116067,0.980024075771032,0.982499963199388,0.980763773145015,0.999768098808728,0.810704325501838,0.810411651741312,0.846466671750262,0.860191205349181,0.045303408731687,0.989961653687168,0.991211361516497,0.98971585303116,0.991003050466046,0.990335182221158,0.999884042681314,0.977233022831353,0.908991062337048,0.900391206921657,0.900228666362782,0.898830667846166,0.919354941646113,0.92003623393335,0.927464934835372,0.927426212950531
10,5000,22,0.802894379040861,0.00140710353619236,0.00861982906534249,0.999977442540399,0.999982455309199,0.00331749017125345,0.00155405316960167,0.431740268916272,0.419548389183115,0.548018492045072,0.385801049286243,1.04818656424943,1.12316821217267,0.922468146709131,0.988367242867671,0.98994622224435,0.988740690409932,0.999606929716329,0.804815786078858,0.806553459161555,0.824616464932232,0.834109973212692,0.285941045270795,0.994166607198044,0.994960412400589,0.995446443666769,0.993914251181423,0.994354408855279,0.999803445541337,0.988700328186331,0.902971011681499,0.897115257967925,0.89808321394042,0.898503681119971,0.90932613702924,0.908083952579403,0.913296213291554,0.913274600851115
10,5000,23,0.73902154534122,0,0.00793279300988187,1.00066237054201,1,0.00333457928300345,0.00264768076727788,0.477703735291086,0.508935937090242,0.702226262087052,0.462735785571956,1.0259166775476,1.12947097584713,0.875258978428569,0.972077072124684,0.995134354974637,0.978343166038287,0.99660448936801,0.751281130295501,0.770970161472201,0.766685309877065,0.784077099979433,-0.091339884649406,0.98593968990232,0.997564210953178,0.994650604093061,0.986730661678971,0.989112312145738,0.998300801045461,0.98912339524587,0.880078288365953,0.866764749107566,0.878049065526638,0.875463101973293,0.88194281509582,0.875605681729548,0.88548128155226,0.886562991637118
10,5000,24,0.760991486116229,0.00776445610385337,0.0108701758106167,0.999027567911007,0.999243663930783,0.00299601760033354,0.00190192446360753,0.456120973762742,0.477210324686727,0.590984210435708,0.3391152815956,1.01836922043521,1.0794042855285,0.884843413474003,0.978673415267169,0.993610641758575,0.985918559589289,0.997043220148256,0.772506608397751,0.783597012011219,0.791448492068186,0.801227977653525,0.0146355482633949,0.989279240289196,0.996800201524145,0.993401444464687,0.991895168097348,0.992934317862612,0.998520515637138,0.989034624293415,0.888492411164281,0.878923550940439,0.88521015132635,0.882117419011699,0.891085914395797,0.889633909014369,0.895113388154554,0.895354873802835
10,5000,25,0.786887253413302,0.00618949341822229,0.00988334963049216,0.999499768916447,0.999610931379458,0.00394887065113632,0.00206508471936048,0.441480768628769,0.462003822159541,0.877928366065219,0.735495284534377,1.03020565537066,1.27577738591254,0.896850169521471,0.966463625047665,0.991036205799744,0.981179965659251,0.994616371287498,0.776849508088276,0.798959729866093,0.81530016276367,0.826507538221291,0.751705193880299,0.983088818493866,0.995508013930448,0.990377091900493,0.986844931858195,0.990545287030963,0.997304552926286,0.976408517296112,0.897414373356099,0.881390667121155,0.893845473147396,0.888208162550444,0.902088745122623,0.902939733738454,0.909124599942874,0.911256277409411
10,5000,26,0.749034095635751,0.00516943146763754,0.0104084445046603,0.999541732818143,0.999643569969667,0.00407859949698607,0.0058392031098284,0.494985757770147,0.543980896924853,0.698933387195693,0.499007951433656,1.03904845167426,1.15709174459147,0.889251333537937,0.958539076202471,0.979484802227758,0.967217194793756,0.996014964094632,0.72751189800514,0.737655382561357,0.777963353315379,0.795205737192843,0.125415091611164,0.979050088709701,0.989689245282456,0.980205988039894,0.984796428322197,0.983472010173018,0.998005493018266,0.96609007359437,0.869135157053396,0.852943080167215,0.858868664326134,0.850805025666911,0.878902175636526,0.882022308853567,0.891743089231895,0.892729964252924
10,5000,27,0.76802433277408,0.00594460001085474,0.0097211147439161,0.999460872241542,0.999580678410088,0.00502205584036672,0.00197908222169434,0.442663304997189,0.483853016062295,0.701631794224736,0.51387709521841,1.03906127722178,1.15317918408336,0.896728223630525,0.973778572609188,0.993793460976512,0.980685166388825,0.997733240444146,0.776705550739111,0.793617299701343,0.795666839678092,0.811523427422898,-0.333262901244918,0.986802195279879,0.996891900346528,0.994815368393292,0.988631849748542,0.990295494480726,0.998865977218239,0.987193418806988,0.894215707404578,0.881308998444424,0.890852007743903,0.888331399066964,0.896908980714932,0.89200159174639,0.900845950994341,0.901037086453948
