"Number.Items","Number.Students.Original","Number.Students.Removed","Number.Run","Alpha","Model.RMSEA","Model.SRMSR","Model.TLI","Model.CFI","RMSE.Item.Discrimination","RMSE.Item.Difficulty","RMSE.Theta","RMSE.EstExpSc.SimSumSc","RMSE.EstExpSc.WSc","RMSE.WSc.SimSumSc","RMSE.TrExpSc.SimSumSc","RMSE.TrExpSc.WSc","RMSE.TrExpSc.EstExpSc","R2.EstTh.SimSumSc","R2.EstTh.WSc","R2.EstExpSc.SimSumSc","R2.EstExpSc.WSc","R2.TrTh.SimSumSc","R2.TrTh.WSc","R2.TrExpSc.SimSumSc","R2.TrExpSc.WSc","CORR.2PLDiff.2PLDisc","CORR.EstTh.SimSumSc","CORR.EstTh.WSc","CORR.EstTh.EstExpSc","CORR.SimSumSc.WSc","CORR.SimSumSc.EstExpSc","CORR.WScvEstExpSc","CORR.TrTh.TrExpSc","CORR.TrTh.EstTh","CORR.TrTh.SimSumSc","CORR.TrTh.WSc","CORR.TrTh.EstExpSc","CORR.TrExpSc.EstTh","CORR.TrExpSc.SimSumSc","CORR.TrExpSc.WSc","CORR.TrExpSc.EstExpSc"
10,5000,391,11,0.793518385069324,0.00662055418429101,0.00796131854086226,0.999485252034178,0.999599640471027,0.00711390857684555,0.00339096190806941,0.423789562217069,0.167616364394389,0.63525637797552,0.684270094219087,0.90322100407849,1.15583724853075,0.892144395590975,0.98859082725398,0.997694489649593,0.993162181466193,0.993855413720823,0.786565611363327,0.798440036001105,0.797435542499322,0.803529182589753,-0.896945721205833,0.994279048986742,0.998846579635528,0.998168795881195,0.993017911456751,0.99657522619529,0.996922972812254,0.997437952080514,0.89307195622874,0.886885342850657,0.893554719086138,0.890849272914781,0.896413823624636,0.89299246497343,0.896397893008319,0.896720460451914
10,5000,275,12,0.808812509787361,0,0.00752794162962632,1.00071945975957,1,0.00677247750950705,0.00102144409341968,0.425565694931123,0.255767803201949,0.491558133662607,0.575802763154016,0.928845013192113,1.04458697368946,0.904080010117,0.963655440685841,0.974754625132177,0.986753662664767,0.998482053771021,0.804948255189586,0.815306390930882,0.823138303745659,0.834021886886009,-0.795821749316996,0.981659533996304,0.987296624694006,0.991551020976951,0.993209075278822,0.993354751669698,0.999240738646609,0.99206612954119,0.902053182599206,0.897189085527452,0.902943182559613,0.904555954131725,0.902733997119164,0.907269697358872,0.913247987616731,0.91312298334755
10,5000,346,13,0.809126975205948,0,0.00723835600155017,1.00007267802556,1,0.00578045110513716,0.00172170477563906,0.39708314364156,0.0824386784668196,0.392978997175006,0.419958718953421,0.850995725212688,0.925660404024155,0.851392387955471,0.991494418053154,0.985452238593382,0.998571802164486,0.997907334394253,0.818405436487,0.814762330905181,0.835871260493122,0.836535103325989,-0.895270804071867,0.995738127246895,0.992699470430695,0.996880847426704,0.998313437727705,0.999285645931375,0.99895311921744,0.993758365739057,0.905678460072237,0.904657634957556,0.902641861928184,0.905338970973377,0.910290759226365,0.914259952362085,0.914622929586826,0.914694373074669
10,5000,964,14,0.776169036539474,0.00418691331806467,0.0123626647009452,0.999765289270742,0.999817447210577,0.00646016129876915,0.00531913049536762,0.478424142777195,0.266406477470447,0.488230050079565,0.578458859433069,0.962032933379602,1.12533178674635,0.92706585846586,0.927568836052752,0.959255703428836,0.980921370157266,0.998711393261164,0.660409465691982,0.682623213339515,0.754798024137529,0.769330785979793,-0.928288309116277,0.963103751447762,0.979416001211352,0.973550848589692,0.989469646454294,0.990414746536655,0.999355488933324,0.959646250914852,0.832695883219833,0.812655810101659,0.826210150833016,0.821767088260897,0.853388207348729,0.868791128026484,0.877115035773411,0.877679459903108
10,5000,405,15,0.845419043628444,0.00511413960790551,0.00516025581319429,0.999801732705197,0.999845792104042,0.00763484033760596,0.00119602154950892,0.367321437222357,0.077702232546019,0.349401446004563,0.371708670192413,0.932845323000395,0.984491278646892,0.931222643451976,0.985619505098578,0.988589758964857,0.999037547863255,0.999191876813805,0.832100409753454,0.833485627864482,0.854581318087691,0.85461110465791,-0.938228996631853,0.992783715165885,0.994278511768637,0.9931941833299,0.999216291493041,0.999518658086609,0.999595856741015,0.991452776060236,0.914681858339181,0.912195379155942,0.912954340514618,0.912554915969482,0.918260601742491,0.924435675473254,0.924451786010449,0.924887377777232
10,5000,336,16,0.794462106468195,0,0.00691916501716041,1.00112450738474,1,0.00592856665594373,0.00178853302354505,0.459731177297553,0.136742564099201,0.485152017280145,0.52213903761311,0.869845100779194,1.01394534095483,0.862097526227228,0.943914162176936,0.963252722616223,0.995275766082261,0.99754772064036,0.73497262659395,0.749837532530713,0.80631585104952,0.808002292175694,-0.861015448733436,0.971552449524438,0.981454391510998,0.973069254185234,0.996393005703028,0.997635086633515,0.998773107687807,0.966727956141839,0.874417695486972,0.857305445330864,0.86593159806691,0.859231805112463,0.874436288715518,0.897950917951265,0.89888947717486,0.900106969374858
10,5000,190,17,0.82363936810207,0,0.00619997692552927,1.00053008595232,1,0.00960786463006968,0.00174806181547079,0.438023420326286,0.111601439975545,0.34445423560224,0.379946704839822,0.915753753846029,0.990821354575915,0.914120794758727,0.949248618858288,0.961543684935114,0.99774594167693,0.998479693170795,0.791997158030459,0.79975914686682,0.844282708094927,0.844235347567012,-0.644335593625943,0.97429390784213,0.980583339107449,0.975739967331586,0.998034861077707,0.998872335024316,0.999239557448961,0.972556886969452,0.900168176003682,0.889942221737152,0.894292539869824,0.890846947398669,0.894732981828675,0.918848577348262,0.918822805315047,0.919641698071082
10,5000,307,18,0.810153724804606,0.000715065859623481,0.00887465201463275,0.999995016842381,0.999996124210741,0.00668783144547383,0.00200796655903332,0.415347787370713,0.0860578819520944,0.411726871031523,0.440141899759013,0.882077818655243,0.975536848371047,0.881570994311531,0.980935165097962,0.966633538812149,0.998381386001604,0.997304927290944,0.798781271574689,0.790592815820522,0.821160862669292,0.822528340950233,-0.843443266875712,0.990421710736372,0.983175233014008,0.991101320804864,0.997723559195763,0.999190365246585,0.998651554492829,0.990382317003784,0.896074867116869,0.893745641429756,0.889152864146835,0.894007347731985,0.895548100261151,0.906179266298502,0.906933482097906,0.906738615088029
10,5000,173,19,0.827364423679696,0.00256429744423303,0.00797859060136915,0.999940572484872,0.999953778599345,0.00510470269835508,0.00283050021719743,0.531588294898284,0.11848336677882,0.375634224178813,0.409071526678052,0.904930452451452,0.986335663153229,0.90051648373068,0.868839270482106,0.890339308629342,0.997238281673144,0.999001807453251,0.726487506931506,0.738433074487272,0.835570942946407,0.835969732067576,-0.860810663171501,0.932115481301596,0.943577929282654,0.933798348946311,0.998126717718137,0.998618186131789,0.99950077911588,0.938118745281102,0.870288830343064,0.852342364857871,0.859321287114006,0.853370484258995,0.847084098490434,0.914095696820857,0.914313803935813,0.915136046104589
10,5000,126,20,0.663030119136043,0.00436454313974104,0.00991308346575916,0.999662690359924,0.999737648057718,0.00516331044006699,0.00266454857850741,1.33214601883368,0.52070605438842,0.368342171080173,0.651756455357394,0.890431414054187,0.900278009013422,0.734118744010065,0.482590647657645,0.561329369209569,0.897135707674351,0.995893423517645,0.603050166446253,0.692328801845733,0.699812073620253,0.770532431716951,-0.820600912312207,0.694687446019895,0.749219173012523,0.73702630105431,0.944685385641354,0.94717248042495,0.997944599423057,0.932413772840711,0.634853368264759,0.776563047309266,0.832062979494782,0.820232051878977,0.665533430297226,0.836547711502609,0.877799767439563,0.880236424983723
